               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.032698,            0.019531,           0.0078237,             0.71359,             0.64705,             0.69897,             0.39764,             0.03583,           0.0088524,           0.0096939,           0.0093268,           0.0093268,           0.0093268
                  36,            0.032125,              0.0189,           0.0069203,             0.71263,             0.64211,             0.68712,             0.44946,            0.030385,            0.009079,            0.010689,            0.009307,            0.009307,            0.009307
                  37,            0.032397,            0.019627,           0.0072245,              0.7477,             0.70502,             0.74079,             0.45641,            0.030365,           0.0084414,            0.012775,           0.0092872,           0.0092872,           0.0092872
                  38,            0.031935,            0.018937,           0.0072776,             0.76618,             0.70114,             0.73574,             0.43918,            0.031078,           0.0092274,           0.0073571,           0.0092674,           0.0092674,           0.0092674
                  39,            0.031803,            0.019115,           0.0067308,             0.68931,             0.65867,             0.69595,             0.44367,            0.031315,           0.0092043,            0.012226,           0.0092476,           0.0092476,           0.0092476
                  40,            0.031438,            0.019014,           0.0070757,             0.76072,             0.71381,             0.75029,             0.49414,            0.028726,           0.0085379,           0.0072063,           0.0092278,           0.0092278,           0.0092278
                  41,            0.031761,             0.01906,           0.0064314,             0.72821,             0.73792,             0.76276,             0.45545,            0.031391,           0.0087466,           0.0061278,            0.009208,            0.009208,            0.009208
                  42,            0.030766,            0.019117,           0.0058873,             0.78109,             0.73697,             0.77572,             0.49986,            0.031388,           0.0086089,            0.005926,           0.0091882,           0.0091882,           0.0091882
                  43,            0.030817,            0.019236,           0.0063212,             0.75581,             0.67951,              0.7368,             0.47831,            0.029841,            0.008844,           0.0085999,           0.0091684,           0.0091684,           0.0091684
                  44,            0.031081,            0.018973,           0.0070941,             0.62308,             0.58853,             0.60677,             0.34936,            0.032716,            0.010458,            0.016698,           0.0091486,           0.0091486,           0.0091486
                  45,            0.030984,             0.01893,           0.0070315,             0.73777,             0.70748,             0.73447,             0.48823,            0.029231,           0.0087136,            0.011093,           0.0091288,           0.0091288,           0.0091288
                  46,            0.030686,             0.01872,           0.0075373,             0.77279,             0.71527,             0.77991,             0.50973,             0.02902,           0.0085757,           0.0076573,            0.009109,            0.009109,            0.009109
                  47,            0.030618,            0.018846,             0.00661,             0.61619,             0.67688,             0.66347,             0.40433,            0.031625,           0.0095061,            0.014717,           0.0090892,           0.0090892,           0.0090892
                  48,            0.030126,            0.018913,           0.0063618,             0.77939,             0.71823,             0.77334,             0.51179,            0.029662,            0.008508,            0.010021,           0.0090694,           0.0090694,           0.0090694
                  49,            0.030438,            0.019016,           0.0062677,             0.81635,             0.71893,             0.78051,             0.48652,            0.031744,           0.0087596,           0.0088644,           0.0090496,           0.0090496,           0.0090496
                  50,            0.030163,            0.018734,           0.0063659,              0.7866,              0.6992,             0.74384,             0.48796,            0.029373,           0.0086206,            0.011691,           0.0090298,           0.0090298,           0.0090298
                  51,            0.030584,            0.018544,           0.0063094,             0.75656,             0.70675,             0.76478,             0.47068,            0.030211,           0.0087373,           0.0069098,             0.00901,             0.00901,             0.00901
                  52,            0.030204,            0.019163,           0.0063916,             0.72273,             0.66018,             0.70249,             0.43136,            0.032297,           0.0089738,            0.013927,           0.0089902,           0.0089902,           0.0089902
                  53,            0.029905,            0.018684,           0.0056281,             0.79256,             0.67007,             0.75913,             0.49598,            0.029667,           0.0087427,           0.0074583,           0.0089704,           0.0089704,           0.0089704
                  54,            0.029649,            0.018354,           0.0060987,             0.71146,              0.7696,             0.76928,             0.48259,            0.030091,           0.0085151,            0.009275,           0.0089506,           0.0089506,           0.0089506
                  55,            0.029786,            0.018621,           0.0062581,             0.75246,             0.74272,             0.76773,             0.50061,            0.029406,           0.0090903,           0.0076813,           0.0089308,           0.0089308,           0.0089308
                  56,             0.02995,            0.018408,           0.0059312,              0.7525,             0.73283,             0.77309,              0.4908,            0.030771,           0.0086472,           0.0077688,            0.008911,            0.008911,            0.008911
                  57,            0.029706,            0.018647,           0.0058478,             0.75858,             0.68763,             0.74808,             0.47991,             0.02941,           0.0094256,            0.010908,           0.0088912,           0.0088912,           0.0088912
                  58,            0.029623,            0.018691,           0.0061849,             0.78336,             0.71442,             0.77407,             0.51033,              0.0293,           0.0087609,           0.0092979,           0.0088714,           0.0088714,           0.0088714
                  59,            0.029721,            0.018734,           0.0055285,             0.79266,             0.71622,             0.77295,             0.49297,            0.030251,           0.0090803,            0.005268,           0.0088516,           0.0088516,           0.0088516
                  60,            0.028655,            0.018579,           0.0055612,             0.83317,             0.73698,             0.79914,             0.51621,            0.030879,           0.0085654,           0.0055961,           0.0088318,           0.0088318,           0.0088318
                  61,            0.029392,            0.018457,           0.0054986,             0.79592,             0.68914,             0.74939,             0.49815,            0.030958,           0.0090051,           0.0091733,            0.008812,            0.008812,            0.008812
                  62,            0.028928,            0.017955,            0.005035,             0.82252,             0.73733,             0.80441,             0.51739,            0.028811,           0.0087464,           0.0077981,           0.0087922,           0.0087922,           0.0087922
                  63,            0.028983,             0.01836,           0.0052683,             0.76433,             0.72173,             0.77707,             0.53095,            0.029829,           0.0089822,           0.0076462,           0.0087724,           0.0087724,           0.0087724
                  64,            0.028987,             0.01832,           0.0051714,             0.78785,             0.75693,             0.78818,             0.51782,            0.029182,           0.0086246,             0.00566,           0.0087526,           0.0087526,           0.0087526
                  65,            0.028763,            0.018108,           0.0052062,             0.79175,             0.72124,              0.7862,             0.50808,            0.030798,           0.0089825,           0.0084348,           0.0087328,           0.0087328,           0.0087328
                  66,            0.029114,            0.018092,           0.0055581,             0.77618,             0.78837,             0.79767,             0.54422,              0.0288,           0.0088763,           0.0065207,            0.008713,            0.008713,            0.008713
                  67,            0.028517,            0.018226,           0.0062551,             0.80115,             0.70498,             0.77489,             0.51374,            0.030152,           0.0093498,           0.0075231,           0.0086932,           0.0086932,           0.0086932
                  68,            0.028637,            0.018543,            0.005394,             0.79034,             0.77411,             0.80864,             0.53506,            0.028768,           0.0085493,           0.0069832,           0.0086734,           0.0086734,           0.0086734
                  69,            0.028723,            0.017698,           0.0051414,             0.79485,             0.73435,             0.78399,             0.51918,            0.028587,           0.0090308,           0.0058209,           0.0086536,           0.0086536,           0.0086536
                  70,            0.028606,             0.01785,           0.0050423,             0.77168,             0.73662,             0.78895,             0.51961,            0.027821,           0.0086548,           0.0059738,           0.0086338,           0.0086338,           0.0086338
                  71,            0.028071,            0.018333,            0.004858,             0.78374,             0.74642,             0.77431,             0.51386,            0.029537,           0.0088888,           0.0060691,            0.008614,            0.008614,            0.008614
                  72,            0.028272,             0.01768,           0.0051119,             0.75421,             0.73814,             0.78875,              0.5449,            0.028217,           0.0085802,           0.0098061,           0.0085942,           0.0085942,           0.0085942
                  73,            0.028114,            0.017936,           0.0054072,             0.83215,             0.76221,              0.8078,             0.53704,            0.028402,           0.0085673,           0.0059304,           0.0085744,           0.0085744,           0.0085744
                  74,            0.028632,            0.017556,           0.0050668,             0.78653,             0.76414,             0.78738,             0.52953,            0.029093,           0.0086019,           0.0050578,           0.0085546,           0.0085546,           0.0085546
                  75,            0.028272,            0.017878,            0.005638,             0.75283,             0.73735,             0.76453,             0.50682,            0.028947,           0.0086561,           0.0090955,           0.0085348,           0.0085348,           0.0085348
                  76,            0.027962,            0.017863,           0.0057676,             0.73962,             0.71301,             0.74594,             0.50856,             0.02747,           0.0090827,            0.011285,            0.008515,            0.008515,            0.008515
                  77,            0.028097,            0.017795,            0.004884,             0.80062,             0.74249,             0.78934,             0.52981,            0.029007,           0.0087308,           0.0065429,           0.0084952,           0.0084952,           0.0084952
                  78,            0.028332,            0.017416,           0.0050945,             0.80066,             0.73584,             0.77744,             0.53144,            0.027471,           0.0092888,           0.0051792,           0.0084754,           0.0084754,           0.0084754
                  79,             0.02793,            0.017806,           0.0045187,             0.76758,             0.74076,             0.77753,              0.5313,            0.028313,           0.0085726,           0.0078888,           0.0084556,           0.0084556,           0.0084556
                  80,            0.027647,            0.017592,           0.0051656,             0.72641,             0.69784,             0.73723,             0.46444,            0.029977,           0.0090106,           0.0081655,           0.0084358,           0.0084358,           0.0084358
                  81,            0.027916,            0.017722,             0.00533,              0.8116,             0.73271,             0.79383,             0.53024,            0.029115,           0.0092916,            0.010972,            0.008416,            0.008416,            0.008416
                  82,            0.027775,            0.017898,           0.0049298,             0.81059,              0.7322,             0.78605,             0.50623,            0.029353,           0.0091147,           0.0054342,           0.0083962,           0.0083962,           0.0083962
                  83,            0.027624,            0.017429,           0.0048976,             0.80912,             0.77636,             0.81802,             0.55097,             0.02886,           0.0086629,           0.0059913,           0.0083764,           0.0083764,           0.0083764
                  84,            0.027401,            0.017643,           0.0045904,             0.81312,             0.76139,             0.80427,             0.55049,            0.027807,           0.0088946,           0.0051793,           0.0083566,           0.0083566,           0.0083566
                  85,            0.027731,            0.017356,           0.0046181,             0.81457,             0.77244,             0.81087,             0.53334,            0.028701,           0.0084962,           0.0048051,           0.0083368,           0.0083368,           0.0083368
                  86,            0.027396,            0.017433,           0.0045643,             0.76215,             0.76236,             0.79303,             0.55554,            0.027211,           0.0085498,           0.0053144,            0.008317,            0.008317,            0.008317
                  87,            0.027179,            0.017202,           0.0043565,             0.76811,             0.73327,             0.76181,             0.48747,            0.030147,           0.0093374,           0.0065292,           0.0082972,           0.0082972,           0.0082972
                  88,             0.02729,            0.017268,           0.0044526,             0.83211,             0.76463,             0.81876,             0.55836,            0.028295,           0.0087312,           0.0069802,           0.0082774,           0.0082774,           0.0082774
                  89,            0.027604,            0.017125,           0.0043806,             0.80449,             0.76433,             0.80595,             0.56274,            0.027914,           0.0085428,           0.0048976,           0.0082576,           0.0082576,           0.0082576
                  90,            0.027285,            0.016516,           0.0046517,             0.76684,             0.71273,             0.76851,             0.52489,            0.028248,           0.0087943,           0.0057381,           0.0082378,           0.0082378,           0.0082378
                  91,            0.027334,            0.017157,           0.0042625,             0.78987,             0.78078,             0.80629,             0.55225,             0.02791,           0.0085865,           0.0064791,            0.008218,            0.008218,            0.008218
                  92,            0.026785,            0.017244,           0.0041384,             0.75581,             0.76652,             0.78667,              0.5228,            0.029657,           0.0088117,           0.0075357,           0.0081982,           0.0081982,           0.0081982
